ksource,keywords,knum,nsource,nnum,title,url
ENTERPRISE,lec,1,NAVER,1,"[LEC] 제자리로 돌아온 G2, 로그 꺾고 공동 1위",http://www.inven.co.kr/webzine/news/?news=251562&iskin=esports
ENTERPRISE,lec,1,NAVER,2,"[LEC] ‘레클레스 맹활약’ G2, 로그 상승세 저지… 공동 1위",http://www.osen.co.kr/article/G1111522325
ENTERPRISE,lec,1,NAVER,3,"[LEC] 프나틱, 집 나간 G2 '레클레스'에 완승",http://www.inven.co.kr/webzine/news/?news=251287&iskin=esports
ENTERPRISE,lec,1,NAVER,4,"[Oh!쎈 LOL] 넘치는 버그 탓? 비에고, LEC 4주차 사용 금지",http://www.osen.co.kr/article/G1111519809
ENTERPRISE,lec,1,NAVER,5,[LEC 결산] '샬케의 반란 어디까지?' 상·하위권 양극화 시작된 3주차,http://www.gameple.co.kr/news/articleView.html?idxno=158003
ENTERPRISE,lec,1,NAVER,6,"[LEC] 프나틱, ‘브위포’ 활약 힘입어 G2와 라이벌전 승리",http://www.osen.co.kr/article/G1111518793
ENTERPRISE,lec,1,DAUM,1,"넘치는 버그 탓? 비에고, LEC 4주차 사용 금지 [Oh!쎈 LOL]",http://v.media.daum.net/v/20210209070202861
ENTERPRISE,lec,1,DAUM,2,"[LEC] 제자리로 돌아온 G2, 로그 꺾고 공동 1위",https://cp.news.search.daum.net/p/102818901
ENTERPRISE,lec,1,DAUM,3,"프나틱, '브위포' 활약 힘입어 G2와 라이벌전 승리 [LEC]",http://v.media.daum.net/v/20210207085331258
ENTERPRISE,lec,1,DAUM,4,"[LEC] 프나틱, 집 나간 G2 '레클레스'에 완승",https://cp.news.search.daum.net/p/102631516
ENTERPRISE,lec,1,DAUM,5,[LEC 결산] '샬케의 반란 어디까지?' 상·하위권 양극화 시작된 3...,https://cp.news.search.daum.net/p/102727954
ENTERPRISE,lec,1,DAUM,6,"로그, 6승으로 단독 선두..막 오른 LCS, 100T-C9 개막 3연승",http://v.media.daum.net/v/20210209150008377
